1				
108				
45	51	50	59	60
46	52	51	60	61
47	53	52	61	62
48	54	53	62	63
49	56	55	64	65
50	57	56	65	66
51	58	57	66	67
52	59	58	67	68
53	60	59	68	69
54	61	60	69	70
55	62	61	70	71
56	63	62	71	72
57	65	64	73	74
58	66	65	74	75
59	67	66	75	76
60	68	67	76	77
61	69	68	77	78
62	70	69	78	79
63	71	70	79	80
64	72	71	80	81
65	18	9	82	85
66	27	18	85	88
67	36	27	88	91
68	45	36	91	94
69	54	45	94	97
70	63	54	97	100
71	72	63	100	103
72	81	72	103	106
73	83	82	85	86
74	84	83	86	87
75	86	85	88	89
76	87	86	89	90
77	89	88	91	92
78	90	89	92	93
79	92	91	94	95
80	93	92	95	96
81	95	94	97	98
82	96	95	98	99
83	98	97	100	101
84	99	98	101	102
85	101	100	103	104
86	102	101	104	105
87	104	103	106	107
